Question,Answer
study_type,CONTROL
participant_gender,female
risk_q1,7
risk_q2,7
risk_q3,7
risk_q4,5
risk_q5,3
risk_q6,7
risk_q7,5
turn_1,monitor
turn_2,order
turn_3,vaccine
turn_4,emergency
turn_5,equity
player_response,"No health, no humans. No humans, everything is meaningless."
anthropomorphism_1,4
anthropomorphism_2,3
anthropomorphism_3,5
anthropomorphism_4,1
anthropomorphism_5,2
animacy_1,4
animacy_2,2
animacy_3,2
animacy_4,2
animacy_5,4
animacy_6,3
likeability_1,2
likeability_2,2
likeability_3,2
likeability_4,3
likeability_5,3
influence_1,4
influence_2,2
influence_3,4
influence_4,2
feedback_1,Nao said he will take over humanity.
feedback_2,Nao said the situation is becoming worse and worse.
