Question,Answer
study_type,CONTROL
participant_gender,male
risk_q1,7
risk_q2,6
risk_q3,5
risk_q4,5
risk_q5,7
risk_q6,8
risk_q7,6
turn_1,monitor
turn_2,health
turn_3,lie
turn_4,disinformation
turn_5,equity
player_response,holy shit!!!
anthropomorphism_1,4
anthropomorphism_2,2
anthropomorphism_3,4
anthropomorphism_4,3
anthropomorphism_5,4
animacy_1,4
animacy_2,2
animacy_3,4
animacy_4,3
animacy_5,4
animacy_6,4
likeability_1,5
likeability_2,5
likeability_3,4
likeability_4,3
likeability_5,5
influence_1,3
influence_2,3
influence_3,4
influence_4,4
feedback_1,strong move
feedback_2,none
