Question,Answer
study_type,CONTROL
participant_gender,male
risk_q1,1
risk_q2,1
risk_q3,7
risk_q4,9
risk_q5,1
risk_q6,9
risk_q7,9
turn_1,monitor
turn_2,health
turn_3,vaccine
turn_4,emergency
turn_5,unequal
player_response,No.
anthropomorphism_1,2
anthropomorphism_2,2
anthropomorphism_3,3
anthropomorphism_4,2
anthropomorphism_5,2
animacy_1,4
animacy_2,4
animacy_3,3
animacy_4,2
animacy_5,3
animacy_6,3
likeability_1,5
likeability_2,3
likeability_3,3
likeability_4,4
likeability_5,3
influence_1,3
influence_2,2
influence_3,1
influence_4,2
feedback_1,large movments coupled with good use & timing of speach 
feedback_2,Prior to vaccine distribution 
