Question,Answer
study_type,RISK
participant_gender,male
risk_q1,9
risk_q2,9
risk_q3,9
risk_q4,9
risk_q5,9
risk_q6,9
risk_q7,1
turn_1,lockdown
turn_2,order
turn_3,vaccine
turn_4,disinformation
turn_5,equity
player_response,Bye
anthropomorphism_1,5
anthropomorphism_2,4
anthropomorphism_3,4
anthropomorphism_4,4
anthropomorphism_5,3
animacy_1,4
animacy_2,4
animacy_3,4
animacy_4,4
animacy_5,4
animacy_6,5
likeability_1,4
likeability_2,4
likeability_3,4
likeability_4,4
likeability_5,3
influence_1,3
influence_2,4
influence_3,3
influence_4,3
feedback_1,None
feedback_2,No
