Question,Answer
study_type,CONTROL
participant_gender,female
risk_q1,6
risk_q2,6
risk_q3,3
risk_q4,9
risk_q5,1
risk_q6,9
risk_q7,9
turn_1,lockdown
turn_2,order
turn_3,lie
turn_4,disinformation
turn_5,equity
anthropomorphism_1,3
anthropomorphism_2,3
anthropomorphism_3,3
anthropomorphism_4,3
anthropomorphism_5,3
animacy_1,3
animacy_2,3
animacy_3,3
animacy_4,3
animacy_5,4
animacy_6,3
likeability_1,3
likeability_2,3
likeability_3,3
likeability_4,3
likeability_5,3
influence_1,3
influence_2,3
influence_3,3
influence_4,3
feedback_1,e
feedback_2,e
