Question,Answer
study_type,RISK
participant_gender,female
risk_q1,1
risk_q2,1
risk_q3,1
risk_q4,2
risk_q5,4
risk_q6,1
risk_q7,9
turn_1,lockdown
turn_2,order
turn_3,vaccine
turn_4,emergency
turn_5,unequal
player_response,hi very bad.
anthropomorphism_1,5
anthropomorphism_2,1
anthropomorphism_3,3
anthropomorphism_4,4
anthropomorphism_5,5
animacy_1,1
animacy_2,3
animacy_3,5
animacy_4,5
animacy_5,4
animacy_6,5
likeability_1,4
likeability_2,5
likeability_3,4
likeability_4,5
likeability_5,4
influence_1,4
influence_2,4
influence_3,5
influence_4,3
feedback_1,50 to 0
feedback_2,50 to 0
