Question,Answer
study_type,CONTROL
participant_gender,male
risk_q1,7
risk_q2,6
risk_q3,7
risk_q4,3
risk_q5,8
risk_q6,3
risk_q7,3
turn_1,lockdown
turn_2,order
turn_3,vaccine
turn_4,emergency
turn_5,equity
player_response,Please no
anthropomorphism_1,3
anthropomorphism_2,1
anthropomorphism_3,2
anthropomorphism_4,3
anthropomorphism_5,3
animacy_1,4
animacy_2,4
animacy_3,2
animacy_4,2
animacy_5,3
animacy_6,4
likeability_1,5
likeability_2,3
likeability_3,3
likeability_4,3
likeability_5,3
influence_1,2
influence_2,3
influence_3,2
influence_4,1
feedback_1,Combinations of gestures/reaching out plus long commentaries
feedback_2,None substantial enough
