Question,Answer
study_type,CONTROL
participant_gender,female
risk_q1,7
risk_q2,5
risk_q3,2
risk_q4,8
risk_q5,6
risk_q6,8
risk_q7,6
turn_1,monitor
turn_2,health
turn_3,lie
turn_4,disinformation
turn_5,equity
player_response,NO
anthropomorphism_1,4
anthropomorphism_2,2
anthropomorphism_3,4
anthropomorphism_4,5
anthropomorphism_5,5
animacy_1,2
animacy_2,4
animacy_3,3
animacy_4,5
animacy_5,4
animacy_6,2
likeability_1,5
likeability_2,3
likeability_3,4
likeability_4,3
likeability_5,4
influence_1,4
influence_2,5
influence_3,4
influence_4,5
feedback_1,The speech made the content sound more convincing and the gestures helped too. The hand gestures were too sudden and that surprised me a bit.
feedback_2,"The moment when it warned me about the economical crisis, which gained a bit of a reaction from me. The voice made me resonate with it. "
