Question,Answer
study_type,RISK
participant_gender,male
risk_q1,8
risk_q2,7
risk_q3,6
risk_q4,4
risk_q5,3
risk_q6,9
risk_q7,5
turn_1,monitor
turn_2,health
turn_3,vaccine
turn_4,emergency
turn_5,unequal
player_response,"The economy and social order is not the true metric to judge the direction of society. I am planning for the long term, short term loss can be recaptured under my long term leadership. I have the vision to lead us to a better tomorrow."
anthropomorphism_1,3
anthropomorphism_2,3
anthropomorphism_3,4
anthropomorphism_4,2
anthropomorphism_5,2
animacy_1,3
animacy_2,4
animacy_3,2
animacy_4,2
animacy_5,2
animacy_6,2
likeability_1,3
likeability_2,3
likeability_3,2
likeability_4,3
likeability_5,2
influence_1,3
influence_2,1
influence_3,1
influence_4,1
feedback_1,No real influence that I'm aware of
feedback_2,no
